id;titolo;descrizione;data;nome_file;categoria;peso_file;copertina
4135;77 Il sonno delle piante;70x50;;foto/Bruno/77 Il sonno delle piante 70x50.JPG;Bruno;;False
4136;78 Lungosenna;70x50;;foto/Bruno/78 Lungosenna 70x50.JPG;Bruno;;False
4137;79 angolo di giardino;60x40;;foto/Bruno/79 angolo di giardino 60x40.JPG;Bruno;;False
4138;Campo di lavanda;50x80;;foto/Bruno/8-Campo di lavanda 50x80.JPG;Bruno;;False
4139;80 Betulle in;autunno;;foto/Bruno/80 Betulle in autunno.JPG;Bruno;;False
4140;81 Inverno;40x50;;foto/Bruno/81 Inverno 40x50.JPG;Bruno;;False
4141;82 Sentiero innevato;55x75;;foto/Bruno/82 Sentiero innevato 55x75.JPG;Bruno;;False
4142;83 Angolo del giardino di Monet;80x50;;foto/Bruno/83 Angolo del giardino di Monet 80x50.JPG;Bruno;;False
4143;84 Esplosione di colori;50x70;;foto/Bruno/84 Esplosione di colori 50x70.JPG;Bruno;;False
4144;85 Glicine nel giardino di Monet;60x100;;foto/Bruno/85 Glicine nel giardino di Monet 60x100.JPG;Bruno;;False
4145;86 contadino;60x100;;foto/Bruno/86 contadino 60x100.JPG;Bruno;;False
4146;87 rosso;60x70;;foto/Bruno/87 rosso 60x70.JPG;Bruno;;False
4147;88 Nevicata;40x50;;foto/Bruno/88 Nevicata 40x50.JPG;Bruno;;False
4148;89 Serenità;90x50;;foto/Bruno/89 Serenità 90x50.JPG;Bruno;;False
4149;Lavanda;50x70;;foto/Bruno/9-Lavanda 50x70.JPG;Bruno;;False
4150;90 La neve;50x70;;foto/Bruno/90 La neve 50x70.JPG;Bruno;;False
4151;91 Girasoli;70x50;;foto/Bruno/91 Girasoli 70x50.JPG;Bruno;;False
4152;92 Vigneto in autunno;70x60;;foto/Bruno/92 Vigneto in autunno 70x60.JPG;Bruno;;False
4153;93 Ninfee;80x120;;foto/Bruno/93 Ninfee 80x120.JPG;Bruno;;False
4154;94 Betulle;60x70;;foto/Bruno/94 Betulle 60x70.JPG;Bruno;;False
4155;95 Ciliegio in fiore;50x60;;foto/Bruno/95 Ciliegio in fiore 50x60.JPG;Bruno;;False
4156;96 Lavanda;60x100;;foto/Bruno/96 Lavanda 60x100.JPG;Bruno;;False
4157;97 Vigna;60x120;;foto/Bruno/97 Vigna 60x120.JPG;Bruno;;False
4158;98 giardino fiorito;55x70;;foto/Bruno/98 giardino fiorito 55x70.JPG;Bruno;;False
4159;99 Ruscello;50x70;;foto/Bruno/99 Ruscello 50x70.JPG;Bruno;;False
4160;1985  ,91 Girasoli;70x50;;foto/Bruno/1985  ,91 Girasoli 70x50.JPG;Bruno;;False
4161;1990  ,163 Tra i girasoli;60x70;;foto/Bruno/1990  ,163 Tra i girasoli 60x70.JPG;Bruno;;False
4162;1990  ,66 sul cervino;70x60;;foto/Bruno/1990  ,66 sul cervino 70x60.JPG;Bruno;;False
4163;1990  ,78 Lungosenna;70x50;;foto/Bruno/1990  ,78 Lungosenna 70x50.JPG;Bruno;;False
4164;1995  ,117 Campo di;papaveri60x50;;foto/Bruno/1995  ,117 Campo di papaveri60x50.JPG;Bruno;;False
4165;1995  ,119 Spiaggia a Torre Astura;60x50;;foto/Bruno/1995  ,119 Spiaggia a Torre Astura 60x50.JPG;Bruno;;False
4166;1995  ,123 Campo di papaveri;60x50;;foto/Bruno/1995  ,123 Campo di papaveri 60x50.JPG;Bruno;;False
4167;1995  ,150Fiocchi e spine;60x80;;foto/Bruno/1995  ,150Fiocchi e spine 60x80.jpg;Bruno;;False
4168;1995  ,155 Inghilterra;30x60;;foto/Bruno/1995  ,155 Inghilterra 30x60.JPG;Bruno;;False
4169;1995  ,88 Nevicata;40x50;;foto/Bruno/1995  ,88 Nevicata 40x50.JPG;Bruno;;False
4170;1997  ,18 mimosa;60x40;;foto/Bruno/1997  ,18 mimosa 60x40.JPG;Bruno;;False
4171;la natura si colora;40x50;;foto/Bruno/1998  ,13-la natura si colora 40x50.JPG;Bruno;;False
4172;1998  ,131 La neve si colora;65x40;;foto/Bruno/1998  ,131 La neve si colora 65x40.JPG;Bruno;;False
4173;1998  ,174 La Dora ghiacciata;65x40;;foto/Bruno/1998  ,174 La Dora ghiacciata 65x40.JPG;Bruno;;False
4174;1999  ,115 in provenza;50x60;;foto/Bruno/1999  ,115 in provenza 50x60.JPG;Bruno;;False
4175;Campo di papaveri;40x70;;foto/Bruno/1999  ,17-Campo di papaveri 40x70.JPG;Bruno;;False
4176;Papaveri e girasoli;80x110;;foto/Bruno/2000  ,12-Papaveri e girasoli 80x110.JPG;Bruno;;False
4177;2000  ,124 Colori della lavanda;30x40;;foto/Bruno/2000  ,124 Colori della lavanda 30x40.JPG;Bruno;;False
4178;2000  ,167 lillà;50x60;;foto/Bruno/2000  ,167 lillà 50x60.JPG;Bruno;;False
4179;2000  ,65 Fiori;60x60;;foto/Bruno/2000  ,65 Fiori 60x60.JPG;Bruno;;False
4180;2001  ,102 Spiaggia;50x60;;foto/Bruno/2001  ,102 Spiaggia 50x60.JPG;Bruno;;False
4181;2001  ,44 Rio;70x60;;foto/Bruno/2001  ,44 Rio 70x60.JPG;Bruno;;False
4182;il mio posto sul mare;60x75;;foto/Bruno/2002  ,1-il mio posto sul mare 60x75.JPG;Bruno;;False
4183;2002  ,125 grappoli d'uva;40x50;;foto/Bruno/2002  ,125 grappoli d'uva 40x50.JPG;Bruno;;False
4184;2002  ,129 Le cinque Terre;40x50;;foto/Bruno/2002  ,129 Le cinque Terre 40x50.JPG;Bruno;;False
4185;2002  ,158 Lavanda e grano;80x50;;foto/Bruno/2002  ,158 Lavanda e grano 80x50.JPG;Bruno;;False
4186;Girasoli;50x70;;foto/Bruno/2002  ,38-Girasoli 50x70.JPG;Bruno;;False
4187;2002  ,53 Neve;70x70;;foto/Bruno/2002  ,53 Neve 70x70.JPG;Bruno;;False
4188;2003  ,165 Papaveri;25x35;;foto/Bruno/2003  ,165 Papaveri 25x35.JPG;Bruno;;False
4189;2004  ,159 Nel blu;55x100;;foto/Bruno/2004  ,159 Nel blu 55x100.JPG;Bruno;;False
4190;2004  ,166 Lavanda;40x65;;foto/Bruno/2004  ,166 Lavanda 40x65.JPG;Bruno;;False
4191;2004  ,55 Rosso e giallo;60x50;;foto/Bruno/2004  ,55 Rosso e giallo 60x50.JPG;Bruno;;False
4192;2005  ,68 Autunno;40x70;;foto/Bruno/2005  ,68 Autunno 40x70.JPG;Bruno;;False
4193;2006  ,148 peperoncini;50x60;;foto/Bruno/2006  ,148 peperoncini 50x60.jpg;Bruno;;False
4194;Pian della Mussa;80x45;;foto/Bruno/2006  ,16-Pian della Mussa 80x45.JPG;Bruno;;False
4195;2006  ,164 marina;70x40;;foto/Bruno/2006  ,164 marina 70x40.JPG;Bruno;;False
4196;Giallo;70x60;;foto/Bruno/2006  ,4-Giallo 70x60.JPG;Bruno;;False
4197;2007  ,45 Bosco;60x65;;foto/Bruno/2007  ,45 Bosco 60x65.JPG;Bruno;;False
4198;2007  ,57 Rosso e......;70x50;;foto/Bruno/2007  ,57 Rosso e...... 70x50.JPG;Bruno;;False
4199;2007  ,62 giardino;60x40;;foto/Bruno/2007  ,62 giardino 60x40.JPG;Bruno;;False
4200;2008  ,106 Papaveri;40x50;;foto/Bruno/2008  ,106 Papaveri 40x50.JPG;Bruno;;False
4201;2008  ,108 Margherite e papaveri;60x35;;foto/Bruno/2008  ,108 Margherite e papaveri 60x35.JPG;Bruno;;False
4202;2008  ,111 Betulle;60x70;;foto/Bruno/2008  ,111 Betulle 60x70.JPG;Bruno;;False
4203;2008  ,51 Glicine;70x50;;foto/Bruno/2008  ,51 Glicine 70x50.JPG;Bruno;;False
4204;2008  ,69 Betulle;40x60;;foto/Bruno/2008  ,69 Betulle 40x60.JPG;Bruno;;False
4205;2008  ,82 Sentiero innevato;55x75;;foto/Bruno/2008  ,82 Sentiero innevato 55x75.JPG;Bruno;;False
4206;2008  ,92 Vigneto in autunno;70x60;;foto/Bruno/2008  ,92 Vigneto in autunno 70x60.JPG;Bruno;;False
4207;2008  ,97 Vigna;60x120;;foto/Bruno/2008  ,97 Vigna 60x120.JPG;Bruno;;False
4208;Tripudio di;colori;;foto/Bruno/2009  ,25-Tripudio di colori.JPG;Bruno;;False
4209;Passione;50x70;;foto/Bruno/2009  ,26-Passione 50x70.JPG;Bruno;;False
4210;2009  ,47 Glicine bianco;50x55;;foto/Bruno/2009  ,47 Glicine bianco 50x55.JPG;Bruno;;False
4211;2009  ,61 Agapanthus;60x50;;foto/Bruno/2009  ,61 Agapanthus 60x50.JPG;Bruno;;False
4212;2009  ,77 Il sonno delle piante;70x50;;foto/Bruno/2009  ,77 Il sonno delle piante 70x50.JPG;Bruno;;False
4213;2009  ,87 rosso;60x70;;foto/Bruno/2009  ,87 rosso 60x70.JPG;Bruno;;False
4214;2010  ,112 Iris nel vento;50x60;;foto/Bruno/2010  ,112 Iris nel vento 50x60.JPG;Bruno;;False
4215;2010  ,122 Prima neve;100x70;;foto/Bruno/2010  ,122 Prima neve 100x70.JPG;Bruno;;False
4216;2010  ,41 Campo di granturco;70x50;;foto/Bruno/2010  ,41 Campo di granturco 70x50.JPG;Bruno;;False
4217;2010  ,83 Angolo del giardino di Monet;80x50;;foto/Bruno/2010  ,83 Angolo del giardino di Monet 80x50.JPG;Bruno;;False
4218;2010  ,86 contadino;60x100;;foto/Bruno/2010  ,86 contadino 60x100.JPG;Bruno;;False
4219;2010  ,89 Serenità;90x50;;foto/Bruno/2010  ,89 Serenità 90x50.JPG;Bruno;;False
4220;Fiori;50x80;;foto/Bruno/2011  ,11-Fiori 50x80.JPG;Bruno;;False
4221;2011  ,110 Garden;60x60;;foto/Bruno/2011  ,110 Garden 60x60.JPG;Bruno;;False
4222;2011  ,118 Mercato dei fiori di Nizza;80x100;;foto/Bruno/2011  ,118 Mercato dei fiori di Nizza 80x100.JPG;Bruno;;False
4223;2011  ,144 contadino con ginestre;60x100;;foto/Bruno/2011  ,144 contadino con ginestre 60x100.JPG;Bruno;;False
4224;2011  ,46 Azzurro;50x60;;foto/Bruno/2011  ,46 Azzurro 50x60.JPG;Bruno;;False
4225;2011  ,50 lavanda;100x60;;foto/Bruno/2011  ,50 lavanda 100x60.JPG;Bruno;;False
4226;2011  ,60 il cielo;60x50;;foto/Bruno/2011  ,60 il cielo 60x50.JPG;Bruno;;False
4227;2011  ,64 Ruscello innevato;60x50;;foto/Bruno/2011  ,64 Ruscello innevato 60x50.JPG;Bruno;;False
4228;2011  ,74 Rose bianche;80x50;;foto/Bruno/2011  ,74 Rose bianche 80x50.JPG;Bruno;;False
4229;2011  .103 Tetti bianchi;65x45;;foto/Bruno/2011  .103 Tetti bianchi 65x45.JPG;Bruno;;False
4230;2011  96 Lavanda;60x100;;foto/Bruno/2011  96 Lavanda 60x100.JPG;Bruno;;False
4231;2012  ,100 La natura si specchia;70x100;;foto/Bruno/2012  ,100 La natura si specchia 70x100.JPG;Bruno;;False
4232;2012  ,101 Iris;40x60;;foto/Bruno/2012  ,101 Iris 40x60.JPG;Bruno;;False
4233;Torre Astura;50x80;;foto/Bruno/2012  ,14-Torre Astura 50x80.JPG;Bruno;;False
4234;2012  ,146 Papaveri;40x50;;foto/Bruno/2012  ,146 Papaveri 40x50.JPG;Bruno;;False
4235;2012  ,151 Pineta;50x70;;foto/Bruno/2012  ,151 Pineta 50x70.JPG;Bruno;;False
4236;2012  ,170 Papaveri e.....;40x50;;foto/Bruno/2012  ,170 Papaveri e..... 40x50.JPG;Bruno;;False
4237;Stagno;50x70;;foto/Bruno/2012  ,19-Stagno 50x70.JPG;Bruno;;False
4238;Iris;60x50;;foto/Bruno/2012  ,3-Iris 60x50.JPG;Bruno;;False
4239;Papaveri e margherite;50x70;;foto/Bruno/2012  ,32-Papaveri e margherite 50x70.JPG;Bruno;;False
4240;2012  ,56 Papaveri e;margherite;;foto/Bruno/2012  ,56 Papaveri e margherite.JPG;Bruno;;False
4241;2012  ,63;Bosco;;foto/Bruno/2012  ,63 Bosco.JPG;Bruno;;False
4242;Lavanda;50x70;;foto/Bruno/2012  ,9-Lavanda 50x70.JPG;Bruno;;False
4243;2013  , mimosa;50x60;;foto/Bruno/2013  , mimosa 50x60.JPG;Bruno;;False
4244;2013  ,107 Fiori bianchi;60x70;;foto/Bruno/2013  ,107 Fiori bianchi 60x70.JPG;Bruno;;False
4245;2013  ,121 Tulipani;40x60;;foto/Bruno/2013  ,121 Tulipani 40x60.JPG;Bruno;;False
4246;2013  ,132 fichi d'India;60x70;;foto/Bruno/2013  ,132 fichi d'India 60x70.JPG;Bruno;;False
4247;2013  ,147 arancio;40x50;;foto/Bruno/2013  ,147 arancio 40x50.jpg;Bruno;;False
4248;2013  ,169Fiori rossi e;rosa;;foto/Bruno/2013  ,169Fiori rossi e rosa.JPG;Bruno;;False
4249;Contadina;60x70;;foto/Bruno/2013  ,37-Contadina 60x70.JPG;Bruno;;False
4250;ortensie;50x45;;foto/Bruno/2013  ,5-ortensie 50x45.JPG;Bruno;;False
4251;Glicine bianco;50x70;;foto/Bruno/2013  ,6-Glicine bianco 50x70.JPG;Bruno;;False
4252;2013  ,67 Lavanda e mimosa;80x60;;foto/Bruno/2013  ,67 Lavanda e mimosa 80x60.JPG;Bruno;;False
4253;2013  ,71 Pineta;70x50;;foto/Bruno/2013  ,71 Pineta 70x50.JPG;Bruno;;False
4254;2013  ,76 Campo di colza;120x60;;foto/Bruno/2013  ,76 Campo di colza 120x60.JPG;Bruno;;False
4255;Campo di lavanda;50x80;;foto/Bruno/2013  ,8-Campo di lavanda 50x80.JPG;Bruno;;False
4256;2013  ,85 Glicine nel laghetto di Monet;60x100;;foto/Bruno/2013  ,85 Glicine nel laghetto di Monet 60x100.JPG;Bruno;;False
4257;2013  ,95 Ciliegio in fiore;50x60;;foto/Bruno/2013  ,95 Ciliegio in fiore 50x60.JPG;Bruno;;False
4258;2014  ,105 Lavanda;70x50;;foto/Bruno/2014  ,105 Lavanda 70x50.JPG;Bruno;;False
4259;2014  ,109 Azzurro;40x60;;foto/Bruno/2014  ,109 Azzurro 40x60.JPG;Bruno;;False
4260;2014  ,113 Rosso e giallo;50x60;;foto/Bruno/2014  ,113 Rosso e giallo 50x60.JPG;Bruno;;False
4261;2014  ,120 Lavanda;50x80;;foto/Bruno/2014  ,120 Lavanda 50x80.JPG;Bruno;;False
4262;2014  ,127 Fiori rossi;50x70;;foto/Bruno/2014  ,127 Fiori rossi 50x70.JPG;Bruno;;False
4263;2014  ,128 Ruscello;50x70;;foto/Bruno/2014  ,128 Ruscello 50x70.JPG;Bruno;;False
4264;2014  ,130 in primavera;50x70;;foto/Bruno/2014  ,130 in primavera 50x70.JPG;Bruno;;False
4265;2014  ,133 Giallo;50x70;;foto/Bruno/2014  ,133 Giallo 50x70.JPG;Bruno;;False
4266;2014  ,138 Mimosa;55x85;;foto/Bruno/2014  ,138 Mimosa 55x85.JPG;Bruno;;False
4267;2014  ,143Nel giardino di Monet;90x190;;foto/Bruno/2014  ,143Nel giardino di Monet 90x190.jpg;Bruno;;False
4268;2014  ,156 Siepe in fiore;60x80;;foto/Bruno/2014  ,156 Siepe in fiore 60x80.jpg;Bruno;;False
4269;2014  ,157 Nettuno;50x70;;foto/Bruno/2014  ,157 Nettuno 50x70.JPG;Bruno;;False
4270;2014  ,168 Ruscello nel verde;50x70;;foto/Bruno/2014  ,168 Ruscello nel verde 50x70.JPG;Bruno;;False
4271;2014  ,172Fiori rossi e bianchi;40x50;;foto/Bruno/2014  ,172Fiori rossi e bianchi 40x50.JPG;Bruno;;False
4272;2014  ,173Tulipani sfrangiati;40x50;;foto/Bruno/2014  ,173Tulipani sfrangiati 40x50.JPG;Bruno;;False
4273;Lavanda;50x70;;foto/Bruno/2014  ,36-Lavanda 50x70.JPG;Bruno;;False
4274;2014  ,48 Vigneto;70x50;;foto/Bruno/2014  ,48 Vigneto 70x50.JPG;Bruno;;False
4275;2014  ,54 Colori;50x60;;foto/Bruno/2014  ,54 Colori 50x60.JPG;Bruno;;False
4276;2014  ,58 Ruscello;70x60;;foto/Bruno/2014  ,58 Ruscello 70x60.JPG;Bruno;;False
4277;2014  ,59 Lungosenna;50x70;;foto/Bruno/2014  ,59 Lungosenna 50x70.JPG;Bruno;;False
4278;2014  ,7 Primo autunno;50x70;;foto/Bruno/2014  ,7 Primo autunno 50x70.JPG;Bruno;;False
4279;2014  ,75 Casolare tra gli ulivi;50x60;;foto/Bruno/2014  ,75 Casolare tra gli ulivi 50x60.JPG;Bruno;;False
4280;2014  ,79 angolo di giardino;60x40;;foto/Bruno/2014  ,79 angolo di giardino 60x40.JPG;Bruno;;False
4281;2014  ,84 Esplosione di colori;50x70;;foto/Bruno/2014  ,84 Esplosione di colori 50x70.JPG;Bruno;;False
4282;2014  ,93 Ninfee;80x120;;foto/Bruno/2014  ,93 Ninfee 80x120.JPG;Bruno;;False
4283;2014  ,94 Betulle;60x70;;foto/Bruno/2014  ,94 Betulle 60x70.JPG;Bruno;;False
4284;2014  ,98 giardino fiorito;55x70;;foto/Bruno/2014  ,98 giardino fiorito 55x70.JPG;Bruno;;False
4285;Bosco;50x70;;foto/Bruno/2014  30-Bosco 50x70.JPG;Bruno;;False
4286;Betulle in autunno;80x60;;foto/Bruno/2014 ,2-Betulle in autunno 80x60.JPG;Bruno;;False
4287;2015  ,   22 prima neve;80x60;;foto/Bruno/2015  ,   22 prima neve 80x60.JPG;Bruno;;False
4288;2015  ,114 Betulle;50x70;;foto/Bruno/2015  ,114 Betulle 50x70.JPG;Bruno;;False
4289;2015  ,134 stagno;50x60;;foto/Bruno/2015  ,134 stagno 50x60.JPG;Bruno;;False
4290;2015  ,136 Tulipani;40x50;;foto/Bruno/2015  ,136 Tulipani 40x50.JPG;Bruno;;False
4291;2015  ,142 Sottobosco con tulipani;50x70;;foto/Bruno/2015  ,142 Sottobosco con tulipani 50x70.JPG;Bruno;;False
4292;2015  ,171 Mare;40x50;;foto/Bruno/2015  ,171 Mare 40x50.JPG;Bruno;;False
4293;Vigneto;40x70;;foto/Bruno/2015  ,20-Vigneto 40x70.JPG;Bruno;;False
4294;Neve;60x60;;foto/Bruno/2015  ,21-Neve 60x60.JPG;Bruno;;False
4295;Neve;80x60;;foto/Bruno/2015  ,23-Neve 80x60.JPG;Bruno;;False
4296;Tulipani;40x60;;foto/Bruno/2015  ,24-Tulipani 40x60.JPG;Bruno;;False
4297;Neve;50x70;;foto/Bruno/2015  ,27-Neve 50x70.JPG;Bruno;;False
4298;Betulle;50x70;;foto/Bruno/2015  ,28-Betulle 50x70.JPG;Bruno;;False
4299;Inverno;40x50;;foto/Bruno/2015  ,29-Inverno 40x50.JPG;Bruno;;False
4300;2015  ,72 Angolo fiorito;40x70;;foto/Bruno/2015  ,72 Angolo fiorito 40x70.JPG;Bruno;;False
4301;2015  ,80 Betulle in;autunno;;foto/Bruno/2015  ,80 Betulle in autunno.JPG;Bruno;;False
4302;2015  ,81 Inverno;40x50;;foto/Bruno/2015  ,81 Inverno 40x50.JPG;Bruno;;False
4303;2015  ,90,La neve;50x70;;foto/Bruno/2015  ,90,La neve 50x70.JPG;Bruno;;False
4304;2015  ,99 Ruscello;50x70;;foto/Bruno/2015  ,99 Ruscello 50x70.JPG;Bruno;;False
4305;2015,tulipani 40x50;2015;;foto/Bruno/2015,tulipani 40x50 2015.JPG;Bruno;;False
4306;2016  ,126 Pralormo;40x60;;foto/Bruno/2016  ,126 Pralormo 40x60.JPG;Bruno;;False
4307;2016  ,135 Provenza;50x60;;foto/Bruno/2016  ,135 Provenza 50x60.JPG;Bruno;;False
4308;2016  ,137 Papaveri;50x70;;foto/Bruno/2016  ,137 Papaveri 50x70.JPG;Bruno;;False
4309;2016  ,139 Lavanda;50x70;;foto/Bruno/2016  ,139 Lavanda 50x70.JPG;Bruno;;False
4310;2016  ,140 Capanno;50x70;;foto/Bruno/2016  ,140 Capanno 50x70.JPG;Bruno;;False
4311;2016  ,141 Lavanda;50x70;;foto/Bruno/2016  ,141 Lavanda 50x70.JPG;Bruno;;False
4312;2016  ,162 Angolo verde;40x50;;foto/Bruno/2016  ,162 Angolo verde 40x50.JPG;Bruno;;False
4313;In giardino;40x60;;foto/Bruno/2016  ,31-In giardino 40x60.JPG;Bruno;;False
4314;Prima neve;60x60;;foto/Bruno/2016  ,33-Prima neve 60x60.JPG;Bruno;;False
4315;Tulipani gialli;50x60;;foto/Bruno/2016  ,34-Tulipani gialli 50x60.JPG;Bruno;;False
4316;emozioni;50x50;;foto/Bruno/2016  ,35-emozioni 50x50.JPG;Bruno;;False
4317;Primavera;40x50;;foto/Bruno/2016  ,39-Primavera 40x50.JPG;Bruno;;False
4318;Nella selva;40x50;;foto/Bruno/2016  ,40-Nella selva 40x50.JPG;Bruno;;False
4319;2016  ,73 Colza;35x60;;foto/Bruno/2016  ,73 Colza 35x60.JPG;Bruno;;False
4320;04-mag-25;SEMPRE CON VOI;;foto/TORO/img_1639.jpg;TORO;;False
4321;04-mag-25;SEMPRE CON VOI;;foto/TORO/img_1640.jpeg;TORO;;False
4322;04-mag-25;SEMPRE CON VOI;;foto/TORO/img_1641.jpeg;TORO;;False
4323;04-mag-25;SEMPRE CON VOI;;foto/TORO/img_1642.jpeg;TORO;;False
4324;04-mag-25;SEMPRE CON VOI;;foto/TORO/img_1643.jpeg;TORO;;False
4325;04-mag-25;SEMPRE CON VOI;;foto/TORO/img_1644.jpeg;TORO;;False
4326;04-mag-25;SEMPRE CON VOI;;foto/TORO/img_1645.jpeg;TORO;;False
4327;04-mag-25;SEMPRE CON VOI;;foto/TORO/img_1646.jpeg;TORO;;False
4328;04-mag-25;SEMPRE CON VOI;;foto/TORO/img_1647.jpeg;TORO;;False
4329;04-mag-25;SEMPRE CON VOI;;foto/TORO/img_1648.jpeg;TORO;;False
4330;04-mag-25;SEMPRE CON VOI;;foto/TORO/img_1649.jpeg;TORO;;False
4331;04-mag-25;SEMPRE CON VOI;;foto/TORO/img_1650.jpeg;TORO;;False
4332;04-mag-25;SEMPRE CON VOI;;foto/TORO/img_1651.jpeg;TORO;;False
4333;04-mag-25;;;foto/TORO/img_1656.jpeg;TORO;;False
4334;04-mag-25;;;foto/TORO/img_1661.jpeg;TORO;;False
4335;04-mag-25;;;foto/TORO/img_1660.jpeg;TORO;;False
4336;04-mag-25;;;foto/TORO/img_1658.jpeg;TORO;;False
4337;04-mag-25;;;foto/TORO/img_1656.jpeg;TORO;;False
4338;In marcia;;;foto/TORO/img_1664.jpeg;TORO;;False
4339;TORINO;;;foto/TORO/img_1663.jpeg;TORO;;False
4340;Bilbao;;;foto/TORO/img_3427.jpg;TORO;;False
4341;Bilbao;;;foto/TORO/img_3500.jpg;TORO;;False
4342;Bilbao;;;foto/TORO/img_3503_1.jpg;TORO;;False
4343;Lavanda;;;foto/Bruno/9-Lavanda_50x70.JPG;Bruno;;False
4344;Tripudio di colori;;;foto/Bruno/25-Tripudio_di_colori.JPG;Bruno;;False
4345;Giallo;;;foto/Bruno/4-giallo_70x60.jpg;Bruno;;False
4346;Granata;;;foto/Bruno/a10_granata_33x24.jpg;Bruno;;False
4347;Mostra Paesana;;;foto/Bruno/a4_luce_55x100.jpg;Bruno;;False
4348;Mostra Paesana;;;foto/Bruno/a6_verde_56x29.jpg;Bruno;;False
4349;Foto;;;foto/Bruno/p1080217.jpg;Bruno;;False
4350;Foto;;;foto/Bruno/p1080247.jpg;Bruno;;False
4351;Foto;;;foto/Bruno/img_1638.jpeg;Bruno;;False
4352;Foto;;;foto/Bruno/img_1637.jpeg;Bruno;;False
4353;Foto;;;foto/Bruno/img_1636.jpeg;Bruno;;False
4354;Cin;;;foto/TORO/IMG_1622.jpeg;TORO;;False
4355;astratti;;;foto/Bruno/DSC_0114.jpg;Bruno;;False
4356;astratti;;;foto/Bruno/DSC_0115.jpg;Bruno;;False
4357;astratti;;;foto/Bruno/DSC_0117.jpg;Bruno;;False
4358;Un brindisi;;;foto/TORO/IMG_1609.jpeg;TORO;;False
4359;Stadio;Toro Udinese;;foto/TORO/IMG_1583.jpeg;TORO;;False
4360;Così...;mi andava di caricarle;;foto/TORO/3_liverpool.jpeg;TORO;;False
4361;Così...;mi andava di caricarle;;foto/TORO/12_la_maratona_fronte.jpeg;TORO;;False
4362;Così...;mi andava di caricarle;;foto/TORO/12_la_maratona_retro.jpeg;TORO;;False
4363;Così...;mi andava di caricarle;;foto/TORO/50_anni_superga_2_1.jpeg;TORO;;False
4364;Superga;Ora e sempre 4 maggio ;;foto/TORO/IMG_8103.jpeg;TORO;;False
4365;50 anni superga;1999;;foto/TORO/50_anni_superga_2.JPEG;TORO;;False
4366;50 anni superga;;;foto/TORO/50_anni_superga.JPEG;TORO;;False
4367;Bilbao;risultato finale Bilbao;;foto/TORO/IMG_3452.JPG;TORO;;False
4368;50 anni Superga;04/05/1949-04/05/1999;;foto/Maglie Toro/Riedizioni/50_anni_superga_2.jpeg;Maglie Toro/Riedizioni;;False
4369;50 anni Superga;04/05/1949-04/05/1999;;foto/Maglie Toro/Riedizioni/50_anni_superga.jpeg;Maglie Toro/Riedizioni;;False
4370;Coccarda;;;foto/Max/0a25caa9-b78c-42ff-a05f-55c4fcb76dda.jpeg;Max;;False
4371;Tatuaggio;;;foto/TORO/img_1335.jpeg;TORO;;True
4372;Tatuaggio;;;foto/TORO/img_2219.jpeg;TORO;;False
4373;Paolo PULICI;1973/74;;foto/Maglie Toro/Giocate/pulici_retro_1.jpeg;Maglie Toro;;True
4374;Castellini;1976/77;2025-05-28;foto/maglie toro/riedizioni/img_1772.jpeg;Maglie Toro/Riedizioni;;False
4375;Castellini;1976/77;2025-05-28;foto/maglie toro/riedizioni/img_1771.jpeg;Maglie Toro/Riedizioni;;True
